DriverId,TeamId,Season,RoundNumber,RacesInGEEra,LocationId,RainBefore,RainDuring,WindSpeed,ApparentTemp,RelativeHumidity,StartingPos,QualifyingPos,GapToPole,TeammateQualifyingPos,Retired,FinishingPos
19,1,2024,2,46,2,0.0,0.0,14.05,24.25,66.25,1.0,1.0,0.0,3.0,False,1.0
18,1,2024,2,46,2,0.0,0.0,14.05,24.25,66.25,3.0,3.0,0.335,1.0,False,2.0
1,3,2024,2,46,2,0.0,0.0,14.05,24.25,66.25,2.0,2.0,0.319,11.0,False,3.0
24,4,2024,2,46,2,0.0,0.0,14.05,24.25,66.25,5.0,5.0,0.617,6.0,False,4.0
9,10,2024,2,46,2,0.0,0.0,14.05,24.25,66.25,4.0,4.0,0.374,10.0,False,5.0
4,2,2024,2,46,2,0.0,0.0,14.05,24.25,66.25,7.0,7.0,0.844,8.0,False,6.0
26,3,2024,2,46,2,0.0,0.0,14.05,24.25,66.25,11.0,11.0,1.17,2.0,False,7.0
15,4,2024,2,46,2,0.0,0.0,14.05,24.25,66.25,6.0,6.0,0.66,5.0,False,8.0
3,2,2024,2,46,2,0.0,0.0,14.05,24.25,66.25,8.0,8.0,0.988,7.0,False,9.0
17,8,2024,2,46,2,0.0,0.0,14.05,24.25,66.25,15.0,15.0,1.583,13.0,False,10.0
13,9,2024,2,46,2,0.0,0.0,14.05,24.25,66.25,12.0,12.0,1.508,19.0,False,11.0
5,8,2024,2,46,2,0.0,0.0,14.05,24.25,66.25,13.0,13.0,1.548,15.0,False,12.0
7,5,2024,2,46,2,0.0,0.0,14.05,24.25,66.25,17.0,17.0,2.003,18.0,False,13.0
23,9,2024,2,46,2,0.0,0.0,14.05,24.25,66.25,19.0,19.0,2.054,12.0,False,14.0
8,6,2024,2,46,2,0.0,0.0,14.05,24.25,66.25,9.0,9.0,1.075,14.0,False,15.0
14,6,2024,2,46,2,0.0,0.0,14.05,24.25,66.25,14.0,14.0,1.553,9.0,False,16.0
6,7,2024,2,46,2,0.0,0.0,14.05,24.25,66.25,16.0,16.0,1.7069999999999999,20.0,False,17.0
10,7,2024,2,46,2,0.0,0.0,14.05,24.25,66.25,20.0,20.0,87.472,16.0,False,18.0
12,10,2024,2,46,2,0.0,0.0,14.05,24.25,66.25,10.0,10.0,1.1,4.0,True,19.0
20,5,2024,2,46,2,0.0,0.0,14.05,24.25,66.25,18.0,18.0,2.007,17.0,True,20.0
